Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	CD4Tn	CCR7	1.93	97.4	0
0	Immune cells	CD4Tconv	CD4Tn	SELL	1.53	97.0	0
0	Immune cells	CD4Tconv	CD4Tn	LEF1	1.3	89.7	0
0	Immune cells	CD4Tconv	CD4Tn	TCF7	1.29	91.6	0
0	Immune cells	CD4Tconv	CD4Tn	MYC	1.23	71.6	0
0	Immune cells	CD4Tconv	CD4Tn	ACTN1	1.22	55.4	0
0	Immune cells	CD4Tconv	CD4Tn	LDLRAP1	1.21	78.6	0
0	Immune cells	CD4Tconv	CD4Tn	TXK	1.16	85.5	0
0	Immune cells	CD4Tconv	CD4Tn	NOSIP	1.14	84.3	0
0	Immune cells	CD4Tconv	CD4Tn	PRKCQ-AS1	1.05	76.8	0
0	Immune cells	CD4Tconv	CD4Tn	MAL	0.96	68.7	0
0	Immune cells	CD4Tconv	CD4Tn	EEF1G	0.82	99.3	0
0	Immune cells	CD4Tconv	CD4Tn	RPS6	0.82	100.0	0
0	Immune cells	CD4Tconv	CD4Tn	RPL5	0.81	99.9	0
0	Immune cells	CD4Tconv	CD4Tn	RPL13	0.81	99.9	0
0	Immune cells	CD4Tconv	CD4Tn	RPL3	0.78	99.9	0
0	Immune cells	CD4Tconv	CD4Tn	RPS3	0.73	99.9	0
0	Immune cells	CD4Tconv	CD4Tn	RPL4	0.72	99.6	0
0	Immune cells	CD4Tconv	CD4Tn	CA6	0.38	22.9	0
0	Immune cells	CD4Tconv	CD4Tn	HLA-DRB6	-1.32	30.6	0
0	Immune cells	CD4Tconv	CD4Tn	SRGN	-1.35	85.7	0
0	Immune cells	CD4Tconv	CD4Tn	HLA-DPA1	-1.42	58.1	0
0	Immune cells	CD4Tconv	CD4Tn	CD74	-1.45	87.3	0
0	Immune cells	CD4Tconv	CD4Tn	HLA-DRB5	-1.57	34.1	0
0	Immune cells	CD4Tconv	CD4Tn	CST7	-1.79	37.7	0
0	Immune cells	CD4Tconv	CD4Tn	HLA-DRB1	-1.95	45.6	0
0	Immune cells	CD4Tconv	CD4Tn	CCL5	-2.45	57.4	0
0	Immune cells	CD4Tconv	CD4Tn	RPS4X	0.74	99.9	5.03e-303
0	Immune cells	CD4Tconv	CD4Tn	GZMA	-2.08	43.2	1.86e-302
0	Immune cells	CD4Tconv	CD4Tn	MDS2	0.48	29.7	1.58e-298
0	Immune cells	CD4Tconv	CD4Tn	CLIC1	-1.08	64.3	3.06e-298
0	Immune cells	CD4Tconv	CD4Tn	HLA-DPB1	-1.1	51.2	1.78e-295
0	Immune cells	CD4Tconv	CD4Tn	LEF1-AS1	0.36	47.4	8.64e-287
0	Immune cells	CD4Tconv	CD4Tn	FHIT	0.78	34.8	1.04e-282
0	Immune cells	CD4Tconv	CD4Tn	EEF1A1	0.35	98.8	3.22e-281
0	Immune cells	CD4Tconv	CD4Tn	LINC00861	0.86	94.9	6.88e-279
0	Immune cells	CD4Tconv	CD4Tn	PRDM1	-1.1	45.5	3.38e-277
0	Immune cells	CD4Tconv	CD4Tn	LDHB	0.84	97.7	2.25e-275
0	Immune cells	CD4Tconv	CD4Tn	RPL32	0.72	100.0	2.01e-273
0	Immune cells	CD4Tconv	CD4Tn	RPL19	0.68	100.0	1.71e-264
0	Immune cells	CD4Tconv	CD4Tn	TRABD2A	0.95	57.4	3.66e-264
0	Immune cells	CD4Tconv	CD4Tn	GAPDH	-0.94	96.5	1.46e-262
0	Immune cells	CD4Tconv	CD4Tn	RGS1	-2.24	38.7	5.39e-260
0	Immune cells	CD4Tconv	CD4Tn	RPL10A	0.62	99.2	3.23e-247
0	Immune cells	CD4Tconv	CD4Tn	RPS14	0.76	100.0	4.6e-244
0	Immune cells	CD4Tconv	CD4Tn	RPS13	0.73	99.2	7.56e-244
0	Immune cells	CD4Tconv	CD4Tn	RPL11	0.72	99.9	8.31e-243
0	Immune cells	CD4Tconv	CD4Tn	ANKRD55	0.74	33.5	1.62e-239
0	Immune cells	CD4Tconv	CD4Tn	SATB1	0.9	67.9	1.42e-233
0	Immune cells	CD4Tconv	CD4Tn	S100A4	-0.99	82.4	3.43e-230
0	Immune cells	CD4Tconv	CD4Tn	CD2	-0.85	89.7	4.36e-230
0	Immune cells	CD4Tconv	CD4Tn	RPL8	0.6	99.7	7.09e-230
0	Immune cells	CD4Tconv	CD4Tn	RPL13A	0.6	99.7	1.34e-229
0	Immune cells	CD4Tconv	CD4Tn	RPL31	0.7	100.0	1.35e-229
0	Immune cells	CD4Tconv	CD4Tn	RPL18	0.68	99.8	1.67e-229
0	Immune cells	CD4Tconv	CD4Tn	FAM153A	0.29	20.2	1.01e-228
0	Immune cells	CD4Tconv	CD4Tn	ANXA2	-1.09	40.4	5.78e-226
0	Immune cells	CD4Tconv	CD4Tn	ANXA2P2	-0.32	16.7	7.4e-226
0	Immune cells	CD4Tconv	CD4Tn	HLA-DQB1	-0.71	18.5	2.02e-225
0	Immune cells	CD4Tconv	CD4Tn	ABLIM1	0.97	82.8	5.77e-225
0	Immune cells	CD4Tconv	CD4Tn	PLAC8	0.64	79.9	2.28e-224
